,OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,CQ Applied TS,CQ and Create Diff
126,409QV83,Make,2019-12-20 13:35:00,2019-12-23 14:11:00,2019-12-23 08:30:00,2019-12-20 13:36:00,0 days 00:01:00.000000000
127,409P5D2,Miss,2019-12-11 10:16:00,2020-01-08 13:58:00,2019-12-11 10:38:00,2019-12-11 10:48:00,0 days 00:32:00.000000000
128,409R9QM,Make,2019-12-26 15:31:00,2019-12-30 21:18:00,2019-12-26 15:33:00,2019-12-26 15:40:00,0 days 00:09:00.000000000
129,409M8TF,Miss,2019-12-02 11:27:00,2019-12-20 15:33:00,,2019-12-02 18:06:00,0 days 06:39:00.000000000
130,409PWQD,Miss,2019-12-16 13:47:00,2020-01-06 09:32:00,2019-12-16 13:48:00,2019-12-16 13:54:00,0 days 00:07:00.000000000
131,BNBFG8B,Make,2020-01-06 09:42:00,2020-01-09 10:52:00,2020-01-07 11:25:00,2020-01-06 09:55:00,0 days 00:13:00.000000000
132,409SCCN,Miss,2020-01-06 13:35:00,2020-01-13 16:36:00,2020-01-08 08:57:00,2020-01-08 09:01:00,1 days 19:26:00.000000000
133,409QDNK,Miss,2019-12-18 10:14:00,2020-01-10 13:22:00,2019-12-19 08:08:00,2019-12-18 15:31:00,0 days 05:17:00.000000000
134,409Q5HP,Make,2019-12-17 10:22:00,2019-12-17 10:43:00,,2019-12-17 10:43:00,0 days 00:21:00.000000000
135,409T8GS,Make,2020-01-09 16:25:00,2020-01-13 16:05:00,2020-01-09 16:34:00,2020-01-09 16:39:00,0 days 00:14:00.000000000
136,409L523,Miss,2019-11-25 11:55:00,2019-12-19 12:38:00,2019-11-26 08:52:00,2019-11-25 23:19:00,0 days 11:24:00.000000000
137,409RK2C,Miss,2019-12-30 10:04:00,2020-01-10 15:15:00,2019-12-30 10:04:00,2019-12-30 10:18:00,0 days 00:14:00.000000000
138,409Q8DL,Make,2019-12-17 15:56:00,2019-12-21 21:26:00,2019-12-17 15:57:00,2019-12-17 16:03:00,0 days 00:07:00.000000000
139,409RW7J,Make,2020-01-02 16:19:00,2020-01-06 14:31:00,2020-01-06 07:48:00,2020-01-02 22:18:00,0 days 05:59:00.000000000
140,409PML5,Make,2019-12-13 14:21:00,2019-12-19 09:00:00,2019-12-16 09:46:00,2019-12-15 10:58:00,1 days 20:37:00.000000000
141,409P4JD,Miss,2019-12-11 10:47:00,2019-12-24 12:42:00,,2019-12-12 17:15:00,1 days 06:28:00.000000000
142,409P73W,Miss,2019-12-11 16:10:00,2019-12-26 10:42:00,,2019-12-12 22:12:00,1 days 06:02:00.000000000
143,BNBFSFS,Make,2020-01-02 15:06:00,2020-01-07 13:31:00,2020-01-02 16:53:00,2020-01-02 15:16:00,0 days 00:10:00.000000000
144,409Q986,Make,2019-12-17 18:07:00,2019-12-30 12:36:00,,2019-12-18 05:08:00,0 days 11:01:00.000000000
145,409PWK2,Make,2019-12-16 13:21:00,2019-12-18 12:27:00,2019-12-16 13:22:00,2019-12-16 13:25:00,0 days 00:04:00.000000000
146,409R9TC,Miss,2019-12-26 16:12:00,2020-01-03 15:51:00,2019-12-26 16:19:00,2019-12-26 16:23:00,0 days 00:11:00.000000000
147,409QZMC,Miss,2019-12-23 08:53:00,2020-01-08 17:53:00,2019-12-23 08:54:00,2019-12-23 09:03:00,0 days 00:10:00.000000000
148,409NNCM,Miss,2019-12-09 14:27:00,2019-12-26 14:30:00,,2019-12-11 08:56:00,1 days 18:29:00.000000000
149,409R8F4,Miss,2019-12-26 09:57:00,2020-01-02 21:25:00,2019-12-26 09:58:00,2019-12-26 10:31:00,0 days 00:34:00.000000000
150,409RL4P,Make,2019-12-30 14:13:00,2020-01-03 10:58:00,2020-01-03 10:18:00,2019-12-30 15:40:00,0 days 01:27:00.000000000
151,409S3M4,Make,2020-01-03 13:41:00,2020-01-06 12:50:00,2020-01-06 09:00:00,2020-01-03 14:21:00,0 days 00:40:00.000000000
152,409N5DC,Miss,2019-12-05 18:42:00,2020-01-06 14:45:00,,2019-12-07 02:06:00,1 days 07:24:00.000000000
153,409SCM5,Make,2020-01-06 14:12:00,2020-01-10 21:25:00,2020-01-06 14:12:00,2020-01-06 14:20:00,0 days 00:08:00.000000000
154,409RLPQ,Miss,2019-12-30 16:16:00,2020-01-10 16:00:00,2019-12-30 16:16:00,2019-12-30 16:28:00,0 days 00:12:00.000000000
155,409RM2N,Miss,2019-12-30 14:59:00,2020-01-09 17:32:00,2019-12-31 12:30:00,2019-12-31 06:56:00,0 days 15:57:00.000000000
156,409N4NH,Miss,2019-12-05 14:54:00,2019-12-24 10:46:00,,2019-12-06 15:24:00,1 days 00:30:00.000000000
157,409RVQ4,Miss,2020-01-02 13:03:00,2020-01-10 12:50:00,,2020-01-02 13:06:00,0 days 00:03:00.000000000
158,409QZCH,Make,2019-12-23 07:52:00,2019-12-27 21:10:00,,2019-12-23 14:40:00,0 days 06:48:00.000000000
159,409MKSG,Miss,2019-12-03 15:25:00,2019-12-17 19:37:00,,2019-12-03 15:46:00,0 days 00:21:00.000000000
160,409QVCV,Miss,2019-12-20 15:04:00,2020-01-06 10:35:00,2019-12-20 15:05:00,2019-12-20 15:07:00,0 days 00:03:00.000000000
161,409PW84,Make,2019-12-16 12:35:00,2019-12-18 11:27:00,2019-12-16 12:36:00,2019-12-16 18:26:00,0 days 05:51:00.000000000
162,409Q8J3,Miss,2019-12-17 16:12:00,2020-01-03 11:00:00,2019-12-18 11:30:00,2019-12-17 18:59:00,0 days 02:47:00.000000000
163,409N9GV,Miss,2019-12-06 12:06:00,2019-12-18 12:49:00,2019-12-06 12:06:00,2019-12-06 12:10:00,0 days 00:04:00.000000000
164,409QC74,Make,2019-12-18 06:21:00,2019-12-20 13:21:00,2019-12-19 08:16:00,2019-12-18 11:32:00,0 days 05:11:00.000000000
165,409NY5T,Miss,2019-12-10 17:42:00,2019-12-18 16:47:00,2019-12-18 16:23:00,2019-12-11 10:39:00,0 days 16:57:00.000000000
166,409MG3T,Miss,2019-12-03 07:40:00,2019-12-18 18:37:00,,2019-12-03 13:02:00,0 days 05:22:00.000000000
167,409PZ6D,Make,2019-12-16 17:02:00,2019-12-17 14:01:00,2019-12-16 17:03:00,2019-12-16 17:05:00,0 days 00:03:00.000000000
168,409N3CS,Miss,2019-12-05 11:53:00,2020-01-13 08:40:00,,2019-12-05 14:46:00,0 days 02:53:00.000000000
169,409QSSS,Make,2019-12-20 11:19:00,2019-12-23 12:17:00,2019-12-20 11:20:00,2019-12-20 11:22:00,0 days 00:03:00.000000000
170,409Q8MY,Miss,2019-12-17 14:40:00,2019-12-30 16:58:00,2019-12-17 14:40:00,2019-12-17 14:45:00,0 days 00:05:00.000000000
171,409RV8V,Make,2020-01-02 12:52:00,2020-01-06 20:27:00,,2020-01-02 15:31:00,0 days 02:39:00.000000000
172,409PTL8,Miss,2019-12-16 08:51:00,2020-01-06 14:34:00,2019-12-16 08:51:00,2019-12-16 08:56:00,0 days 00:05:00.000000000
173,409N9VS,Miss,2019-12-06 11:09:00,2019-12-23 17:22:00,,2019-12-08 09:58:00,1 days 22:49:00.000000000
174,409RNN2,Miss,2019-12-31 11:18:00,2020-01-07 15:49:00,2020-01-02 09:41:00,2019-12-31 12:35:00,0 days 01:17:00.000000000
175,409S8KC,Make,2020-01-06 07:54:00,2020-01-08 12:15:00,2020-01-06 10:01:00,2020-01-06 09:05:00,0 days 01:11:00.000000000
176,409SF52,Make,2020-01-06 16:26:00,2020-01-07 11:01:00,2020-01-07 10:12:00,2020-01-06 16:31:00,0 days 00:05:00.000000000
177,409LL9W,Miss,2019-11-27 08:30:00,2019-12-17 11:48:00,,2019-11-27 21:07:00,0 days 12:37:00.000000000
178,409QMW5,Make,2019-12-19 11:18:00,2019-12-23 14:25:00,2019-12-20 12:13:00,2019-12-19 15:30:00,0 days 04:12:00.000000000
179,409SW5Z,Make,2020-01-08 12:08:00,2020-01-13 15:11:00,2020-01-08 12:08:00,2020-01-08 12:31:00,0 days 00:23:00.000000000
180,409MHV9,Miss,2019-12-03 11:51:00,2019-12-17 11:40:00,2019-12-03 11:54:00,2019-12-03 12:11:00,0 days 00:20:00.000000000
181,409RP3P,Miss,2019-12-31 13:31:00,2020-01-07 13:02:00,2020-01-06 16:04:00,2020-01-06 16:06:00,6 days 02:35:00.000000000
182,409QNC6,Miss,2019-12-19 11:28:00,2020-01-06 12:52:00,2019-12-19 11:29:00,2019-12-19 11:39:00,0 days 00:11:00.000000000
183,409QNRW,Make,2019-12-19 11:41:00,2019-12-27 19:18:00,2019-12-19 11:51:00,2019-12-19 11:48:00,0 days 00:07:00.000000000
184,409PZF3,Miss,2019-12-16 15:01:00,2020-01-10 11:30:00,,2019-12-16 15:06:00,0 days 00:05:00.000000000
185,409PY2L,Make,2019-12-16 14:22:00,2019-12-17 14:02:00,2019-12-17 07:36:00,2019-12-16 14:28:00,0 days 00:06:00.000000000
186,409PCZL,Miss,2019-12-12 11:10:00,2020-01-03 14:35:00,,2019-12-12 17:07:00,0 days 05:57:00.000000000
187,409RM6V,Miss,2019-12-30 18:41:00,2020-01-06 20:14:00,2019-12-30 18:43:00,2019-12-30 18:45:00,0 days 00:04:00.000000000
188,409SZ7B,Make,2020-01-08 18:17:00,2020-01-12 21:12:00,,2020-01-08 18:23:00,0 days 00:06:00.000000000
189,409PZM9,Miss,2019-12-16 19:15:00,2019-12-26 15:25:00,2019-12-17 09:20:00,2019-12-16 23:21:00,0 days 04:06:00.000000000
190,BNBK9FS,Make,2019-12-13 09:13:00,2019-12-18 16:29:00,2019-12-17 08:19:00,2019-12-13 22:43:00,0 days 13:30:00.000000000
191,409PP6N,Make,2019-12-14 11:25:00,2019-12-18 13:46:00,2019-12-14 11:29:00,2019-12-14 11:40:00,0 days 00:15:00.000000000
192,409SYHW,Make,2020-01-08 14:49:00,2020-01-13 13:03:00,2020-01-10 10:10:00,2020-01-10 10:06:00,1 days 19:17:00.000000000
193,409PTGL,Make,2019-12-16 09:39:00,2019-12-18 10:33:00,2019-12-16 09:40:00,2019-12-16 09:51:00,0 days 00:12:00.000000000
194,409JRD9,Miss,2019-11-18 13:04:00,2020-01-10 16:22:00,,2019-11-19 12:49:00,0 days 23:45:00.000000000
195,409N3BL,Miss,2019-12-05 12:48:00,2019-12-19 21:20:00,,2019-12-06 10:07:00,0 days 21:19:00.000000000
196,409QVR6,Miss,2019-12-20 18:29:00,2020-01-03 10:17:00,2019-12-23 17:32:00,2019-12-23 11:30:00,2 days 17:01:00.000000000
197,409NV3B,Miss,2019-12-10 11:51:00,2019-12-17 17:03:00,2019-12-11 08:39:00,2019-12-10 14:50:00,0 days 02:59:00.000000000
198,409PMT7,Miss,2019-12-13 14:06:00,2019-12-19 20:37:00,2019-12-13 14:11:00,2019-12-13 14:15:00,0 days 00:09:00.000000000
199,409MS4N,Miss,2019-12-04 11:39:00,2019-12-20 12:43:00,,2019-12-04 11:46:00,0 days 00:07:00.000000000
200,409Q7D2,Miss,2019-12-17 13:36:00,2019-12-30 14:47:00,2019-12-17 13:52:00,2019-12-17 13:56:00,0 days 00:20:00.000000000
201,409NL5R,Miss,2019-12-09 12:50:00,2019-12-20 08:01:00,2019-12-10 15:23:00,2019-12-11 15:32:00,2 days 02:42:00.000000000
202,409SCG6,Make,2020-01-06 10:45:00,2020-01-08 16:20:00,2020-01-06 10:50:00,2020-01-06 10:48:00,0 days 00:03:00.000000000
203,409NTJD,Miss,2019-12-10 11:44:00,2019-12-23 09:35:00,,2019-12-11 09:13:00,0 days 21:29:00.000000000
204,409QDV4,Miss,2019-12-18 10:34:00,2019-12-29 21:01:00,2019-12-19 10:25:00,2019-12-19 10:34:00,1 days 00:00:00.000000000
205,409MGTJ,Miss,2019-12-03 09:58:00,2019-12-23 10:32:00,2019-12-03 09:59:00,2019-12-03 11:10:00,0 days 01:12:00.000000000
206,409SWMY,Make,2020-01-08 13:04:00,2020-01-13 16:02:00,2020-01-09 11:04:00,2020-01-09 10:10:00,0 days 21:06:00.000000000
207,409NNRD,Miss,2019-12-09 20:45:00,2019-12-23 12:38:00,2019-12-09 20:47:00,2019-12-09 20:48:00,0 days 00:03:00.000000000
208,409R2TL,Make,2019-12-23 12:04:00,2019-12-27 15:14:00,2019-12-23 15:12:00,2019-12-23 14:41:00,0 days 02:37:00.000000000
209,409SCSK,Make,2020-01-06 14:57:00,2020-01-06 15:16:00,2020-01-06 15:09:00,2020-01-06 15:16:00,0 days 00:19:00.000000000
210,409RJPY,Miss,2019-12-30 10:25:00,2020-01-05 21:10:00,2019-12-30 10:26:00,2019-12-30 10:29:00,0 days 00:04:00.000000000
211,409LPBH,Miss,2019-11-27 16:08:00,2019-12-23 21:42:00,,2019-11-27 16:30:00,0 days 00:22:00.000000000
212,409PK54,Miss,2019-12-13 08:58:00,2019-12-19 21:33:00,2019-12-13 09:03:00,2019-12-13 09:07:00,0 days 00:09:00.000000000
213,409QPCW,Make,2019-12-19 16:30:00,2019-12-23 21:23:00,2019-12-19 16:30:00,2019-12-19 16:38:00,0 days 00:08:00.000000000
214,409PF59,Make,2019-12-12 13:41:00,2019-12-17 13:52:00,2019-12-12 13:41:00,2019-12-12 13:48:00,0 days 00:07:00.000000000
215,409RP4P,Miss,2019-12-31 10:43:00,2020-01-06 13:13:00,2019-12-31 10:43:00,2019-12-31 13:03:00,0 days 02:20:00.000000000
216,409QD6Z,Miss,2019-12-18 09:27:00,2020-01-06 14:29:00,2019-12-23 11:35:00,2019-12-19 11:39:00,1 days 02:12:00.000000000
217,409N3K6,Miss,2019-12-05 13:27:00,2019-12-30 10:38:00,,2019-12-05 13:37:00,0 days 00:10:00.000000000
218,409QT3T,Miss,2019-12-20 11:59:00,2019-12-26 21:34:00,,2019-12-20 12:04:00,0 days 00:05:00.000000000
219,409L469,Miss,2019-11-25 10:38:00,2020-01-06 17:30:00,,2019-11-25 11:05:00,0 days 00:27:00.000000000
220,409R8HZ,Miss,2019-12-26 10:23:00,2020-01-02 21:25:00,,2019-12-26 10:28:00,0 days 00:05:00.000000000
221,409NW7C,Miss,2019-12-10 14:13:00,2019-12-17 12:44:00,,2019-12-10 17:53:00,0 days 03:40:00.000000000
222,409NBTV,Miss,2019-12-06 15:37:00,2019-12-19 14:48:00,,2019-12-06 17:31:00,0 days 01:54:00.000000000
223,409QMY3,Make,2019-12-19 12:23:00,2019-12-23 21:21:00,,2019-12-19 18:23:00,0 days 06:00:00.000000000
224,409Q87B,Make,2019-12-17 15:27:00,2019-12-20 17:19:00,2019-12-20 13:38:00,2019-12-18 14:28:00,0 days 23:01:00.000000000
225,409RTRR,Make,2020-01-02 11:39:00,2020-01-06 14:20:00,2020-01-02 11:39:00,2020-01-02 11:46:00,0 days 00:07:00.000000000
226,409Q653,Make,2019-12-17 11:20:00,2019-12-18 13:45:00,2019-12-17 11:22:00,2019-12-17 11:33:00,0 days 00:13:00.000000000
227,409QMN3,Make,2019-12-19 09:42:00,2019-12-23 13:06:00,2019-12-19 10:12:00,2019-12-19 09:50:00,0 days 00:08:00.000000000
228,BNBKGPW,Make,2019-12-12 09:29:00,2019-12-17 12:40:00,2019-12-17 07:44:00,2019-12-13 11:41:00,1 days 02:12:00.000000000
229,409Q92B,Miss,2019-12-17 14:48:00,2019-12-31 14:21:00,,2019-12-18 12:13:00,0 days 21:25:00.000000000
230,409QFRJ,Make,2019-12-18 12:11:00,2019-12-22 21:10:00,2019-12-18 12:14:00,2019-12-18 12:22:00,0 days 00:11:00.000000000
231,409LTK6,Miss,2019-11-28 11:39:00,2020-01-06 17:26:00,2019-11-28 11:39:00,2019-11-28 12:02:00,0 days 00:23:00.000000000
232,409MRCF,Miss,2019-12-04 10:21:00,2020-01-06 12:30:00,,2019-12-05 04:13:00,0 days 17:52:00.000000000
233,409P6T2,Miss,2019-12-11 15:29:00,2019-12-17 17:27:00,2019-12-13 09:59:00,2019-12-12 16:50:00,1 days 01:21:00.000000000
234,409P5DR,Miss,2019-12-11 11:14:00,2019-12-17 15:53:00,2019-12-13 15:43:00,2019-12-12 13:15:00,1 days 02:01:00.000000000
235,409RWKV,Make,2020-01-02 17:46:00,2020-01-06 15:05:00,2020-01-03 12:24:00,2020-01-02 21:48:00,0 days 04:02:00.000000000
236,409M2NC,Miss,2019-11-29 16:21:00,2019-12-24 19:19:00,2019-11-29 16:21:00,2019-11-29 16:23:00,0 days 00:02:00.000000000
237,409PYCW,Miss,2019-12-16 13:02:00,2020-01-06 16:28:00,2019-12-16 14:30:00,2019-12-16 14:33:00,0 days 01:31:00.000000000
238,409RKRS,Miss,2019-12-30 10:06:00,2020-01-09 11:29:00,,2019-12-30 10:18:00,0 days 00:12:00.000000000
239,409JHFW,Miss,2019-11-15 14:16:00,2020-01-10 10:13:00,,2019-11-17 02:05:00,1 days 11:49:00.000000000
240,409RWHB,Make,2020-01-02 17:22:00,2020-01-07 11:57:00,2020-01-02 17:23:00,2020-01-02 17:37:00,0 days 00:15:00.000000000
241,409QTZW,Make,2019-12-20 11:51:00,2019-12-23 12:30:00,2019-12-20 15:21:00,2019-12-20 15:09:00,0 days 03:18:00.000000000
242,409NM99,Miss,2019-12-09 11:59:00,2020-01-06 13:34:00,2019-12-09 12:00:00,2019-12-09 12:04:00,0 days 00:05:00.000000000
243,409R233,Make,2019-12-23 10:05:00,2019-12-27 21:13:00,2019-12-23 10:06:00,2019-12-23 10:17:00,0 days 00:12:00.000000000
244,409PYHQ,Miss,2019-12-16 12:21:00,2019-12-23 11:02:00,2019-12-17 13:04:00,2019-12-20 06:40:00,3 days 18:19:00.000000000
245,409S8N3,Make,2020-01-06 09:06:00,2020-01-07 12:33:00,2020-01-07 11:35:00,2020-01-06 09:20:00,0 days 00:14:00.000000000
246,409G9FZ,Miss,2019-11-05 08:49:00,2019-12-17 18:22:00,2019-11-05 08:49:00,2019-11-05 08:53:00,0 days 00:04:00.000000000
247,CLKDBFM,Miss,2019-12-28 15:43:00,2020-01-03 10:41:00,2019-12-30 08:29:00,2019-12-30 07:53:00,1 days 16:10:00.000000000
248,409QGHJ,Make,2019-12-18 14:11:00,2019-12-20 11:33:00,2019-12-19 12:59:00,2019-12-18 16:29:00,0 days 02:18:00.000000000
249,409SWCD,Make,2020-01-08 12:30:00,2020-01-10 15:28:00,2020-01-08 12:30:00,2020-01-08 12:38:00,0 days 00:08:00.000000000
