,OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,CQ Applied TS,CQ and Create Diff
250,409SKLB,Make,2020-01-07 11:18:00,2020-01-10 16:32:00,2020-01-07 11:59:00,2020-01-07 11:34:00,0 days 00:16:00.000000000
251,409K9K2,Miss,2019-11-20 10:33:00,2019-12-30 11:26:00,2019-11-21 13:48:00,2019-11-21 13:49:00,1 days 03:16:00.000000000
252,409PWTS,Make,2019-12-16 11:00:00,2019-12-20 18:12:00,,2019-12-16 13:39:00,0 days 02:39:00.000000000
253,409SNPW,Make,2020-01-07 16:22:00,2020-01-11 21:26:00,,2020-01-07 16:24:00,0 days 00:02:00.000000000
254,409M33C,Miss,2019-11-30 13:42:00,2019-12-18 13:37:00,2019-11-30 13:43:00,2019-11-30 13:47:00,0 days 00:05:00.000000000
255,409N58D,Miss,2019-12-05 16:44:00,2019-12-30 11:38:00,,2019-12-06 06:02:00,0 days 13:18:00.000000000
256,409M9SV,Miss,2019-12-02 14:18:00,2019-12-19 21:15:00,2019-12-03 11:46:00,2019-12-06 16:12:00,4 days 01:54:00.000000000
257,BNBJMSP,Miss,2019-12-16 16:49:00,2019-12-30 16:52:00,2019-12-19 16:49:00,2019-12-16 19:26:00,0 days 02:37:00.000000000
258,409PFVY,Miss,2019-12-12 14:33:00,2019-12-19 15:09:00,2019-12-16 09:48:00,2019-12-15 12:43:00,2 days 22:10:00.000000000
259,409NVHK,Miss,2019-12-10 12:51:00,2019-12-20 12:32:00,2019-12-10 12:52:00,2019-12-10 12:55:00,0 days 00:04:00.000000000
260,409PQCK,Miss,2019-12-16 00:20:00,2020-01-07 20:31:00,,2019-12-16 12:57:00,0 days 12:37:00.000000000
261,409PMRH,Miss,2019-12-13 11:57:00,2019-12-30 13:33:00,,2019-12-14 09:41:00,0 days 21:44:00.000000000
262,409NHCQ,Miss,2019-12-09 08:24:00,2020-01-06 10:25:00,,2019-12-09 09:53:00,0 days 01:29:00.000000000
263,409PDFH,Miss,2019-12-12 11:54:00,2020-01-07 14:57:00,,2019-12-12 18:02:00,0 days 06:08:00.000000000
264,409P5VQ,Miss,2019-12-11 12:23:00,2019-12-20 20:19:00,,2019-12-13 19:19:00,2 days 06:56:00.000000000
265,409P5Y6,Miss,2019-12-11 12:33:00,2019-12-27 12:39:00,,2019-12-11 12:36:00,0 days 00:03:00.000000000
266,409R3MR,Make,2019-12-23 14:55:00,2019-12-27 14:39:00,2019-12-23 14:56:00,2019-12-23 15:01:00,0 days 00:06:00.000000000
267,409QCPJ,Miss,2019-12-18 08:33:00,2020-01-08 10:30:00,2019-12-18 12:25:00,2019-12-18 12:46:00,0 days 04:13:00.000000000
268,409PGHJ,Miss,2019-12-12 15:13:00,2019-12-20 19:32:00,,2019-12-13 20:12:00,1 days 04:59:00.000000000
269,409Q8F7,Miss,2019-12-17 15:58:00,2020-01-09 09:46:00,,2019-12-17 16:21:00,0 days 00:23:00.000000000
270,409M98V,Miss,2019-12-02 12:11:00,2019-12-17 14:42:00,,2019-12-03 00:06:00,0 days 11:55:00.000000000
271,409Q8KS,Miss,2019-12-17 16:21:00,2020-01-10 10:48:00,,2019-12-17 18:33:00,0 days 02:12:00.000000000
272,409RGGW,Miss,2019-12-29 09:21:00,2020-01-06 12:03:00,2019-12-29 09:21:00,2019-12-29 09:23:00,0 days 00:02:00.000000000
273,409SCFR,Make,2020-01-06 10:43:00,2020-01-08 09:54:00,2020-01-08 07:31:00,2020-01-06 12:57:00,0 days 02:14:00.000000000
274,409LZNS,Miss,2019-11-29 11:57:00,2019-12-18 15:45:00,,2019-11-29 13:01:00,0 days 01:04:00.000000000
275,409MR6R,Miss,2019-12-04 11:05:00,2019-12-19 11:44:00,,2019-12-05 06:03:00,0 days 18:58:00.000000000
276,409QGK2,Make,2019-12-18 11:23:00,2019-12-20 08:22:00,2019-12-18 11:23:00,2019-12-18 11:29:00,0 days 00:06:00.000000000
277,BNBFN8V,Miss,2020-01-03 13:37:00,2020-01-09 21:07:00,,2020-01-03 13:52:00,0 days 00:15:00.000000000
278,409PFGK,Miss,2019-12-12 12:30:00,2019-12-19 12:49:00,2019-12-16 12:41:00,2019-12-14 09:45:00,1 days 21:15:00.000000000
279,409SYL9,Make,2020-01-08 16:03:00,2020-01-10 16:15:00,2020-01-08 16:17:00,2020-01-08 16:06:00,0 days 00:03:00.000000000
280,409QP8P,Miss,2019-12-19 16:01:00,2020-01-10 16:14:00,2019-12-19 16:01:00,2019-12-19 16:10:00,0 days 00:09:00.000000000
281,409NMZP,Miss,2019-12-09 13:24:00,2019-12-23 11:44:00,,2019-12-10 02:48:00,0 days 13:24:00.000000000
282,409PGP5,Miss,2019-12-12 17:29:00,2020-01-02 10:29:00,,2019-12-13 09:49:00,0 days 16:20:00.000000000
283,409MZYM,Miss,2019-12-05 09:19:00,2019-12-18 12:36:00,2019-12-05 09:20:00,2019-12-05 09:26:00,0 days 00:07:00.000000000
284,409PNFV,Make,2019-12-13 15:55:00,2019-12-17 16:33:00,2019-12-17 08:53:00,2019-12-16 07:06:00,2 days 15:11:00.000000000
285,409MBGH,Miss,2019-12-02 14:46:00,2019-12-17 11:43:00,,2019-12-02 17:11:00,0 days 02:25:00.000000000
286,409NLL9,Miss,2019-12-09 12:51:00,2020-01-03 16:25:00,2019-12-09 12:51:00,2019-12-09 12:54:00,0 days 00:03:00.000000000
287,BNBKKPT,Miss,2019-12-11 15:16:00,2019-12-19 14:07:00,,2019-12-11 19:39:00,0 days 04:23:00.000000000
288,409QMKG,Make,2019-12-19 10:26:00,2019-12-23 13:10:00,2019-12-19 10:30:00,2019-12-19 10:32:00,0 days 00:06:00.000000000
289,409P7P6,Miss,2019-12-11 15:41:00,2019-12-20 18:19:00,,2019-12-14 12:27:00,2 days 20:46:00.000000000
290,409R5TR,Miss,2019-12-24 07:57:00,2019-12-30 19:12:00,,2019-12-26 15:14:00,2 days 07:17:00.000000000
291,409RFHR,Miss,2019-12-27 17:29:00,2020-01-03 21:05:00,,2019-12-27 21:24:00,0 days 03:55:00.000000000
292,409P6WQ,Miss,2019-12-11 15:47:00,2020-01-03 13:39:00,2019-12-12 17:00:00,2019-12-12 17:10:00,1 days 01:23:00.000000000
293,409QFKM,Make,2019-12-18 10:45:00,2019-12-23 15:30:00,2019-12-19 07:47:00,2019-12-18 18:16:00,0 days 07:31:00.000000000
294,409RVF9,Miss,2020-01-02 11:13:00,2020-01-09 18:18:00,2020-01-02 11:47:00,2020-01-02 11:51:00,0 days 00:38:00.000000000
295,409NNGL,Miss,2019-12-09 16:58:00,2019-12-20 14:46:00,2019-12-11 08:13:00,2019-12-10 10:07:00,0 days 17:09:00.000000000
296,409ND5F,Miss,2019-12-07 13:42:00,2019-12-26 12:27:00,,2019-12-08 08:05:00,0 days 18:23:00.000000000
297,409PWMJ,Make,2019-12-16 13:31:00,2019-12-19 16:02:00,2019-12-18 10:24:00,2019-12-17 15:13:00,1 days 01:42:00.000000000
298,409RZD3,Miss,2020-01-03 08:00:00,2020-01-11 21:14:00,2020-01-03 10:46:00,2020-01-03 10:49:00,0 days 02:49:00.000000000
299,409NLGS,Miss,2019-12-09 13:34:00,2020-01-06 14:40:00,,2019-12-10 10:00:00,0 days 20:26:00.000000000
300,409RDF7,Make,2019-12-27 12:28:00,2019-12-30 15:06:00,2019-12-27 12:29:00,2019-12-27 12:37:00,0 days 00:09:00.000000000
301,409SBQ3,Make,2020-01-06 09:21:00,2020-01-08 15:41:00,2020-01-06 09:22:00,2020-01-06 09:30:00,0 days 00:09:00.000000000
302,409RNNW,Make,2019-12-31 11:33:00,2020-01-03 10:38:00,2019-12-31 11:34:00,2019-12-31 16:04:00,0 days 04:31:00.000000000
303,409P4WM,Miss,2019-12-11 11:26:00,2019-12-26 15:28:00,2019-12-11 11:27:00,2019-12-11 11:33:00,0 days 00:07:00.000000000
304,409Q92L,Miss,2019-12-17 16:50:00,2020-01-03 10:20:00,,2019-12-18 10:02:00,0 days 17:12:00.000000000
305,409S9S5,Make,2020-01-06 10:53:00,2020-01-10 10:33:00,2020-01-07 14:25:00,2020-01-06 11:01:00,0 days 00:08:00.000000000
306,409T6Z3,Make,2020-01-09 10:08:00,2020-01-13 13:07:00,2020-01-09 10:09:00,2020-01-09 10:13:00,0 days 00:05:00.000000000
307,409NMJL,Miss,2019-12-09 15:28:00,2020-01-13 12:55:00,,2019-12-11 08:40:00,1 days 17:12:00.000000000
308,409RS75,Make,2020-01-02 09:27:00,2020-01-03 11:28:00,2020-01-02 09:27:00,2020-01-02 09:31:00,0 days 00:04:00.000000000
309,409QRSY,Miss,2019-12-20 08:54:00,2019-12-31 12:55:00,2019-12-23 09:20:00,2019-12-22 10:35:00,2 days 01:41:00.000000000
310,409N4LD,Miss,2019-12-05 13:47:00,2020-01-13 14:14:00,2019-12-05 13:48:00,2019-12-05 13:54:00,0 days 00:07:00.000000000
311,409N2ZW,Miss,2019-12-05 12:04:00,2020-01-06 13:29:00,,2019-12-06 01:11:00,0 days 13:07:00.000000000
312,409Q8YK,Make,2019-12-17 17:31:00,2019-12-20 15:55:00,2019-12-18 10:19:00,2019-12-17 17:57:00,0 days 00:26:00.000000000
313,409S8W8,Make,2020-01-06 09:35:00,2020-01-07 12:09:00,2020-01-06 09:36:00,2020-01-06 09:43:00,0 days 00:08:00.000000000
314,409QT4V,Miss,2019-12-20 11:05:00,2019-12-26 20:34:00,2019-12-20 11:06:00,2019-12-20 11:10:00,0 days 00:05:00.000000000
315,CLKCPPH,Make,2020-01-03 09:39:00,2020-01-06 14:45:00,2020-01-06 07:50:00,2020-01-03 09:51:00,0 days 00:12:00.000000000
316,409NMT2,Miss,2019-12-09 16:02:00,2020-01-13 09:09:00,,2019-12-10 17:14:00,1 days 01:12:00.000000000
317,409P727,Miss,2019-12-11 15:00:00,2020-01-08 14:27:00,,2019-12-13 12:12:00,1 days 21:12:00.000000000
318,409QH7G,Make,2019-12-18 16:02:00,2019-12-19 11:49:00,2019-12-19 08:53:00,2019-12-18 16:14:00,0 days 00:12:00.000000000
319,409QPNG,Miss,2019-12-19 15:43:00,2020-01-09 14:12:00,2019-12-19 15:53:00,2019-12-19 15:59:00,0 days 00:16:00.000000000
320,409LV25,Miss,2019-11-28 14:00:00,2020-01-07 09:41:00,,2019-11-28 14:17:00,0 days 00:17:00.000000000
321,409RDYN,Make,2019-12-27 14:48:00,2019-12-30 20:40:00,2019-12-30 14:39:00,2019-12-27 14:52:00,0 days 00:04:00.000000000
322,409QFHN,Miss,2019-12-18 10:39:00,2020-01-03 15:06:00,2019-12-19 07:59:00,2019-12-18 10:49:00,0 days 00:10:00.000000000
323,409PDGN,Miss,2019-12-12 10:59:00,2020-01-06 12:33:00,,2019-12-13 15:57:00,1 days 04:58:00.000000000
324,409MJS6,Miss,2019-12-03 13:15:00,2019-12-31 14:55:00,2019-12-03 13:15:00,2019-12-03 13:19:00,0 days 00:04:00.000000000
325,409RCK8,Make,2019-12-27 09:27:00,2019-12-30 11:38:00,2019-12-30 08:53:00,2019-12-27 09:36:00,0 days 00:09:00.000000000
326,409PF92,Miss,2019-12-12 14:03:00,2019-12-23 13:38:00,,2019-12-12 15:27:00,0 days 01:24:00.000000000
327,409QVDV,Miss,2019-12-20 13:20:00,2020-01-07 10:27:00,,2019-12-20 13:34:00,0 days 00:14:00.000000000
328,409Q6PR,Miss,2019-12-17 12:17:00,2019-12-23 14:38:00,2019-12-19 09:30:00,2019-12-18 15:09:00,1 days 02:52:00.000000000
329,409S4P5,Make,2020-01-03 15:46:00,2020-01-07 11:05:00,2020-01-06 08:00:00,2020-01-03 17:19:00,0 days 01:33:00.000000000
330,409HRBD,Miss,2019-11-12 22:00:00,2019-12-27 19:22:00,,2019-11-13 04:38:00,0 days 06:38:00.000000000
331,409R944,Miss,2019-12-26 11:41:00,2020-01-08 09:11:00,,2019-12-26 17:26:00,0 days 05:45:00.000000000
332,409RKJ6,Make,2019-12-30 12:15:00,2020-01-03 20:38:00,2020-01-02 12:26:00,2019-12-30 12:21:00,0 days 00:06:00.000000000
333,409QN7F,Make,2019-12-19 11:08:00,2019-12-20 14:34:00,2019-12-20 08:33:00,2019-12-19 15:20:00,0 days 04:12:00.000000000
334,409MRGV,Miss,2019-12-04 08:34:00,2019-12-30 13:33:00,2019-12-04 15:29:00,2019-12-06 06:07:00,1 days 21:33:00.000000000
335,409RSVQ,Make,2020-01-02 09:46:00,2020-01-07 10:49:00,2020-01-02 10:34:00,2020-01-02 10:31:00,0 days 00:45:00.000000000
336,409QT23,Make,2019-12-20 08:47:00,2019-12-23 14:53:00,2019-12-20 10:47:00,2019-12-20 10:45:00,0 days 01:58:00.000000000
337,409QNFB,Miss,2019-12-19 14:39:00,2019-12-26 22:23:00,2019-12-19 14:44:00,2019-12-19 14:45:00,0 days 00:06:00.000000000
338,409R9F9,Miss,2019-12-26 13:54:00,2020-01-09 13:59:00,,2019-12-26 13:58:00,0 days 00:04:00.000000000
339,409PK8N,Make,2019-12-13 09:15:00,2019-12-18 22:38:00,2019-12-13 09:16:00,2019-12-13 09:23:00,0 days 00:08:00.000000000
340,409THWS,Make,2020-01-11 14:09:00,2020-01-11 14:19:00,,2020-01-11 14:19:00,0 days 00:10:00.000000000
341,409ST4N,Make,2020-01-08 09:56:00,2020-01-10 11:04:00,2020-01-08 13:28:00,2020-01-08 13:03:00,0 days 03:07:00.000000000
342,409PFDM,Miss,2019-12-12 13:22:00,2020-01-06 09:26:00,2019-12-12 13:22:00,2019-12-12 13:26:00,0 days 00:04:00.000000000
343,409MPM6,Miss,2019-12-04 07:37:00,2019-12-19 11:47:00,,2019-12-04 07:42:00,0 days 00:05:00.000000000
344,409M6TZ,Miss,2019-12-02 09:27:00,2020-01-10 16:22:00,2019-12-02 09:28:00,2019-12-02 09:38:00,0 days 00:11:00.000000000
345,409SSNY,Make,2020-01-08 09:30:00,2020-01-12 21:04:00,,2020-01-08 09:53:00,0 days 00:23:00.000000000
346,409KTHJ,Miss,2019-11-22 13:48:00,2019-12-30 11:33:00,,2019-11-24 12:51:00,1 days 23:03:00.000000000
347,409P5Z4,Miss,2019-12-11 12:36:00,2019-12-19 11:33:00,2019-12-16 11:19:00,2019-12-13 17:10:00,2 days 04:34:00.000000000
348,409PNFM,Miss,2019-12-13 13:54:00,2020-01-09 10:59:00,2019-12-13 13:58:00,2019-12-13 14:01:00,0 days 00:07:00.000000000
349,409NV78,Miss,2019-12-10 12:09:00,2019-12-30 12:31:00,,2019-12-10 12:17:00,0 days 00:08:00.000000000
350,409Q7J2,Make,2019-12-17 13:57:00,2019-12-21 21:24:00,,2019-12-17 14:09:00,0 days 00:12:00.000000000
351,CLKCZ8B,Make,2019-12-30 15:50:00,2020-01-03 10:48:00,2019-12-30 17:25:00,2019-12-30 16:03:00,0 days 00:13:00.000000000
352,CLKCFHS,Make,2020-01-07 16:20:00,2020-01-09 13:49:00,2020-01-08 08:45:00,2020-01-07 17:01:00,0 days 00:41:00.000000000
353,409SKLB,Make,2020-01-07 11:18:00,2020-01-10 16:32:00,2020-01-07 11:59:00,2020-01-07 11:34:00,0 days 00:16:00.000000000
354,409P3B8,Miss,2019-12-11 08:58:00,2020-01-07 14:18:00,,2019-12-11 14:43:00,0 days 05:45:00.000000000
355,409RNQW,Miss,2019-12-31 10:59:00,2020-01-10 13:30:00,2019-12-31 11:01:00,2019-12-31 11:05:00,0 days 00:06:00.000000000
356,BNBKGRZ,Miss,2019-12-12 09:16:00,2019-12-23 10:32:00,,2019-12-12 15:01:00,0 days 05:45:00.000000000
357,409T43F,Make,2020-01-09 08:14:00,2020-01-10 15:19:00,2020-01-09 08:17:00,2020-01-09 08:20:00,0 days 00:06:00.000000000
358,409Q5BQ,Miss,2019-12-17 10:03:00,2020-01-09 10:26:00,,2019-12-17 11:57:00,0 days 01:54:00.000000000
359,409R6ML,Miss,2019-12-24 13:10:00,2019-12-30 14:34:00,2019-12-30 06:54:00,2019-12-24 13:14:00,0 days 00:04:00.000000000
360,409QGG3,Miss,2019-12-18 14:04:00,2019-12-26 16:26:00,2019-12-18 14:04:00,2019-12-18 14:09:00,0 days 00:05:00.000000000
361,409MHLD,Miss,2019-12-03 11:17:00,2019-12-30 10:39:00,2019-12-03 11:17:00,2019-12-03 11:27:00,0 days 00:10:00.000000000
362,409LNTZ,Miss,2019-11-27 13:52:00,2019-12-23 12:39:00,2019-11-27 13:52:00,2019-11-27 13:57:00,0 days 00:05:00.000000000
363,409Q5WZ,Miss,2019-12-17 11:05:00,2020-01-03 13:38:00,2019-12-17 11:06:00,2019-12-17 11:11:00,0 days 00:06:00.000000000
364,409S434,Make,2020-01-03 11:53:00,2020-01-06 15:35:00,2020-01-06 13:14:00,2020-01-03 11:58:00,0 days 00:05:00.000000000
365,409R9D7,Make,2019-12-26 10:46:00,2019-12-27 15:43:00,2019-12-26 10:47:00,2019-12-26 10:59:00,0 days 00:13:00.000000000
366,409NTNP,Miss,2019-12-10 11:00:00,2019-12-30 14:25:00,,2019-12-11 04:31:00,0 days 17:31:00.000000000
367,409RCPF,Make,2019-12-27 10:03:00,2019-12-31 13:26:00,2019-12-27 10:05:00,2019-12-27 10:17:00,0 days 00:14:00.000000000
368,409Q66C,Miss,2019-12-17 11:22:00,2020-01-06 10:34:00,,2019-12-17 13:07:00,0 days 01:45:00.000000000
369,409QL54,Miss,2019-12-19 08:35:00,2020-01-10 13:34:00,2019-12-19 08:36:00,2019-12-19 08:41:00,0 days 00:06:00.000000000
370,409MKM4,Miss,2019-12-03 13:57:00,2020-01-06 12:38:00,,2019-12-03 15:45:00,0 days 01:48:00.000000000
371,409LH4Y,Miss,2019-11-26 19:07:00,2019-12-19 11:51:00,2019-11-26 19:23:00,2019-11-26 19:38:00,0 days 00:31:00.000000000
372,BNBDWGW,Make,2020-01-07 11:07:00,2020-01-07 13:35:00,,2020-01-07 13:35:00,0 days 02:28:00.000000000
373,409S8TM,Make,2020-01-06 09:26:00,2020-01-09 08:32:00,2020-01-06 11:49:00,2020-01-06 11:50:00,0 days 02:24:00.000000000
374,409NB6H,Miss,2019-12-06 10:48:00,2019-12-23 09:36:00,2019-12-06 10:49:00,2019-12-06 10:51:00,0 days 00:03:00.000000000
375,409RF49,Miss,2019-12-27 15:19:00,2020-01-02 21:20:00,,2019-12-27 16:09:00,0 days 00:50:00.000000000
376,409Q5D3,Miss,2019-12-17 10:08:00,2019-12-23 21:30:00,2019-12-17 10:09:00,2019-12-17 10:27:00,0 days 00:19:00.000000000
377,409RFCW,Miss,2019-12-27 16:34:00,2020-01-08 13:33:00,2019-12-27 16:35:00,2019-12-27 16:38:00,0 days 00:04:00.000000000
